code,level,de,en,es,fr,it,nl
01,2,"Landwirtschaft, Jagd und damit verbundene Tätigkeiten","Crop and animal production, hunting and related service activities","Agricultura, ganadería, caza y servicios relacionados","Culture et production animale, chasse et services annexes","Produzioni vegetali e animali, caccia e servizi connessi","Teelt van gewassen, veeteelt, jacht en diensten in verband met deze activiteiten"
01.1,3,Anbau ein- und zweijähriger Pflanzen,Growing of non-perennial crops,Cultivos no perennes,Cultures non permanentes,Coltivazione di colture agricole non permanenti,Teelt van eenjarige gewassen
01.11,4,Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten,"Growing of cereals, other than rice, leguminous crops and oil seeds","Cultivo de cereales, distintos de arroz, leguminosas y oleaginosas","Culture de céréales, à l’exception du riz, de légumineuses et de graines oléagineuses","Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Teelt van andere granen dan rijst, en van peulgewassen en oliehoudende zaden"
01.12,4,Anbau von Reis,Growing of rice,Cultivo de arroz,Culture du riz,Coltivazione di riso,Teelt van rijst
01.13,4,Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Growing of vegetables and melons, roots and tubers","Cultivo de hortalizas, raíces y tubérculos","Culture de légumes, de melons, de racines et de tubercules","Coltivazione di ortaggi e meloni, radici e tuberi","Teelt van groenten, meloenen en wortel- en knolgewassen"
01.14,4,Anbau von Zuckerrohr,Growing of sugar cane,Cultivo de caña de azúcar,Culture de la canne à sucre,Coltivazione di canna da zucchero,Teelt van suikerriet
01.15,4,Anbau von Tabak,Growing of tobacco,Cultivo de tabaco,Culture du tabac,Coltivazione di tabacco,Teelt van tabak
01.16,4,Anbau von Faserpflanzen,Growing of fibre crops,Cultivo de plantas para fibras textiles,Culture de plantes à fibres,Coltivazione di piante tessili,Teelt van vezelgewassen
01.13,4,Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Growing of vegetables and melons, roots and tubers","Cultivo de hortalizas, raíces y tubérculos","Culture de légumes, de melons, de racines et de tubercules","Coltivazione di ortaggi e meloni, radici e tuberi","Teelt van groenten, meloenen en wortel- en knolgewassen"
01.19,4,Anbau von sonstigen ein- und zweijährigen Pflanzen,Growing of other non-perennial crops,Otros cultivos no perennes,Autres cultures non permanentes,Coltivazione di altre colture agricole non permanenti,Teelt van andere eenjarige gewassen
01.1,3,Anbau ein- und zweijähriger Pflanzen,Growing of non-perennial crops,Cultivos no perennes,Cultures non permanentes,Coltivazione di colture agricole non permanenti,Teelt van eenjarige gewassen
01.2,3,Anbau mehrjähriger Pflanzen,Growing of perennial crops,Cultivos perennes,Cultures permanentes,Coltivazione di colture agricole permanenti,Teelt van meerjarige gewassen
01.21,4,Anbau von Wein- und Tafeltrauben,Growing of grapes,Cultivo de la vid,Culture de la vigne,Coltivazione di uva,Teelt van druiven
01.22,4,Anbau von tropischen und subtropischen Früchten,Growing of tropical and subtropical fruits,Cultivo de frutos tropicales y subtropicales,Culture de fruits tropicaux et subtropicaux,Coltivazione di frutta di origine tropicale e subtropicale,Teelt van tropisch en subtropisch fruit
01.23,4,Anbau von Zitrusfrüchten,Growing of citrus fruits,Cultivo de cítricos,Culture d’agrumes,Coltivazione di agrumi,Teelt van citrusvruchten
01.24,4,Anbau von Kern- und Steinobst,Growing of pome fruits and stone fruits,Cultivo de frutos con hueso y pepitas,Culture de fruits à pépins et à noyau,Coltivazione di pomacee e frutta a nocciolo,Teelt van pit- en steenvruchten
01.25,4,Anbau von sonstigem Obst und Nüssen,Growing of other tree and bush fruits and nuts,Cultivo de otros árboles y arbustos frutales y frutos secos,Culture d’autres fruits d’arbres ou d’arbustes et de fruits à coque,"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio","Teelt van andere boomvruchten, kleinfruit en noten"
01.26,4,Anbau von ölhaltigen Früchten,Growing of oleaginous fruits,Cultivo de frutos oleaginosos,Culture de fruits oléagineux,Coltivazione di frutti oleosi,Teelt van oliehoudende vruchten
01.27,4,Anbau von Pflanzen zur Herstellung von Getränken,Growing of beverage crops,Cultivo de plantas para bebidas,Culture de plantes à boissons,Coltivazione di piante per la produzione di bevande,Teelt van gewassen bestemd voor de vervaardiging van dranken
01.13,4,Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Growing of vegetables and melons, roots and tubers","Cultivo de hortalizas, raíces y tubérculos","Culture de légumes, de melons, de racines et de tubercules","Coltivazione di ortaggi e meloni, radici e tuberi","Teelt van groenten, meloenen en wortel- en knolgewassen"
01.28,4,"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke","Growing of spices, aromatic, drug and pharmaceutical crops","Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","Coltivazione di spezie, piante aromatiche e farmaceutiche",Teelt van specerijgewassen en van aromatische en medicinale gewassen
01.29,4,Anbau sonstiger mehrjähriger Pflanzen,Growing of other perennial crops,Otros cultivos perennes,Autres cultures permanentes,Coltivazione di altre colture agricole permanenti,Teelt van andere meerjarige gewassen
01.3,3,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken,Plant propagation,Propagación de plantas,Reproduction de plantes,Riproduzione delle piante,Plantenvermeerdering
01.30,4,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken,Plant propagation,Propagación de plantas,Reproduction de plantes,Riproduzione delle piante,Plantenvermeerdering
01.4,3,Tierhaltung,Animal production,Producción ganadera,Production animale,Allevamento di animali,Veeteelt
01.41,4,Haltung von Milchkühen,Raising of dairy cattle,Explotación de ganado bovino para la producción de leche,Élevage de vaches laitières,Allevamento di bovini da latte,Fokken en houden van melkvee
01.41,4,Haltung von Milchkühen,Raising of dairy cattle,Explotación de ganado bovino para la producción de leche,Élevage de vaches laitières,Allevamento di bovini da latte,Fokken en houden van melkvee
01.42,4,Haltung von sonstigen Rindern,Raising of other cattle and buffaloes,Explotación de otro ganado bovino y búfalos,Élevage d’autres bovins et de buffles,Allevamento di altri bovini e bufalini,Fokken en houden van andere runderen en buffels
01.43,4,Haltung von Pferden und Eseln,Raising of horses and other equines,Explotación de caballos y otros equinos,Élevage de chevaux et d’autres équidés,Allevamento di cavalli e altri equini,Fokken en houden van paarden en andere paardachtigen
01.44,4,Haltung von Kamelen,Raising of camels and camelids,Explotación de camellos y otros camélidos,Élevage de chameaux et d’autres camélidés,Allevamento di cammelli e camelidi,Fokken en houden van kamelen en andere kameelachtigen
01.45,4,Haltung von Schafen und Ziegen,Raising of sheep and goats,Explotación de ganado ovino y caprino,Élevage d’ovins et de caprins,Allevamento di ovini e caprini,Fokken en houden van schapen en geiten
01.46,4,Haltung von Schweinen,Raising of swine and pigs,Explotación de ganado porcino,Élevage de porcins,Allevamento di suini,Fokken en houden van varkens
01.47,4,Haltung von Geflügel,Raising of poultry,Avicultura,Élevage de volailles,Allevamento di pollame,Fokken en houden van pluimvee
01.47,4,Haltung von Geflügel,Raising of poultry,Avicultura,Élevage de volailles,Allevamento di pollame,Fokken en houden van pluimvee
01.48,4,Sonstige Tierhaltung,Raising of other animals,Otras explotaciones de ganado,Élevage d’autres animaux,Allevamento di altri animali,Fokken en houden van andere dieren
01.5,3,Gemischte Landwirtschaft,Mixed farming,Producción agrícola combinada con la producción ganadera,Culture et élevage associés,Coltivazioni agricole associate all’allevamento di animali: attività mista,Gemengd bedrijf
01.50,4,Gemischte Landwirtschaft,Mixed farming,Producción agrícola combinada con la producción ganadera,Culture et élevage associés,Coltivazioni agricole associate all’allevamento di animali: attività mista,Gemengd bedrijf
01.4,3,Tierhaltung,Animal production,Producción ganadera,Production animale,Allevamento di animali,Veeteelt
